id,item1,item2,item3,item4,item5,item6,item7,item8,item9,item10,item11,item12
167,4,4,4,4,3,4,4,4,5,6,5,4
168,2,3,2,5,5,6,6,6,4,5,5,4
169,3,3,3,4,3,3,5,5,4,3,5,4
170,3,3,4,5,6,4,4,4,4,3,3,2
171,3,4,3,5,5,4,5,5,3,5,5,3
172,4,4,4,5,5,5,4,4,3,5,5,4
173,1,1,3,3,4,3,3,2,3,4,6,4
174,4,5,4,4,4,3,4,4,3,5,5,4
175,5,4,6,3,4,3,2,2,5,5,4,5
176,5,5,6,3,3,4,4,4,2,2,7,4
177,3,2,4,4,4,4,4,4,6,3,6,5
178,3,3,4,6,6,5,5,5,4,4,4,3
179,5,5,5,5,5,5,5,5,4,3,5,3
180,3,3,4,7,7,6,5,5,5,5,5,5
181,1,2,2,4,3,4,3,2,2,4,7,3
182,4,3,5,4,4,4,5,5,6,3,4,4
183,3,2,3,4,3,5,4,4,1,4,4,4
184,3,4,4,6,6,6,5,5,4,2,4,3
185,5,5,6,5,5,4,4,4,7,5,4,3
186,5,5,5,4,4,5,2,2,3,5,5,5
187,3,3,3,4,4,5,5,5,6,5,5,3
188,5,6,5,4,4,4,6,5,3,3,3,6
189,5,5,5,4,4,4,4,4,6,5,4,5
190,4,2,5,6,6,5,4,4,5,5,1,4
191,5,4,5,4,4,4,5,5,5,5,4,3
192,5,5,6,5,4,4,3,4,5,6,7,5
193,2,2,2,4,4,4,2,3,3,3,4,3
194,4,4,4,5,5,6,5,4,4,5,7,5
195,4,4,4,6,6,5,5,6,3,4,3,4
196,3,2,3,6,6,5,4,4,3,3,5,5
197,4,5,4,5,6,5,4,4,4,5,6,1
198,2,2,3,6,6,6,4,4,3,2,4,4
199,4,4,3,3,4,3,4,4,5,5,4,7
200,4,5,5,3,3,3,5,5,4,4,4,5
201,3,2,5,4,4,4,4,4,3,5,3,4
202,2,2,4,5,5,5,5,4,4,3,6,4
203,4,3,5,5,5,5,4,4,3,4,5,3
204,3,4,2,3,4,3,2,2,3,4,4,2
205,2,3,3,5,5,5,5,5,5,3,7,3
206,5,5,4,5,4,5,4,4,4,3,5,4
207,3,4,4,4,4,3,7,7,3,6,5,6
208,5,5,6,4,5,4,4,4,2,4,4,4
209,4,5,4,6,6,5,4,4,3,5,6,4
210,2,2,2,5,5,5,5,5,4,4,5,4
211,4,4,4,4,5,3,3,4,3,1,5,5
212,6,5,7,4,4,4,5,5,3,3,5,4
213,5,5,5,4,4,4,3,3,2,4,4,5
214,5,5,5,2,2,1,3,3,5,7,4,4
215,4,4,4,5,5,5,6,6,3,6,4,5
216,4,4,4,3,4,4,5,4,3,5,4,5
217,3,4,3,5,5,4,3,3,5,2,5,5
218,6,6,5,6,6,6,4,4,5,4,4,3
219,5,5,3,4,4,4,4,5,1,7,7,3
220,4,4,4,4,4,4,5,5,5,4,4,3
221,6,5,6,4,4,4,4,5,6,6,4,4
222,3,4,4,3,4,3,5,5,5,5,3,5
223,5,5,5,3,3,4,2,3,3,5,4,4
224,5,6,5,3,3,3,4,4,5,6,6,3
225,4,4,4,3,4,3,5,4,5,2,5,5
226,3,2,3,4,4,4,5,5,5,5,6,5
227,5,6,6,2,3,2,3,3,3,3,5,4
228,4,4,5,4,4,5,3,3,4,7,4,4
229,7,7,7,4,4,5,6,6,4,3,5,4
230,6,7,5,5,4,5,4,4,3,3,6,4
231,4,3,4,6,6,6,4,4,2,3,6,4
232,6,6,5,6,5,6,3,3,5,5,6,6
233,4,5,4,1,2,1,6,5,4,3,5,4
234,5,5,5,4,4,4,4,3,5,4,4,5
235,4,5,4,2,2,3,3,3,5,6,6,6
236,3,3,3,1,1,1,5,5,6,5,5,3
237,5,6,6,4,4,4,5,5,1,3,3,5
238,7,6,7,5,5,5,4,4,2,6,5,5
239,7,7,6,4,5,3,5,5,3,4,4,3
240,4,4,4,5,6,4,3,3,6,3,5,4
241,4,5,4,4,4,3,4,4,4,4,3,3
242,4,4,5,4,5,4,5,4,4,4,4,3
243,4,4,4,6,5,6,4,4,6,5,3,5
244,5,5,4,4,4,4,2,2,3,6,4,2
245,5,5,6,4,4,4,2,2,4,3,3,5
246,2,3,3,7,7,7,5,5,4,4,7,7
247,5,6,5,3,3,3,3,3,3,5,6,4
248,6,5,7,5,5,4,3,3,4,3,5,5
249,2,2,3,4,4,4,6,6,3,4,5,3
250,6,6,5,5,5,4,6,6,6,6,5,5
251,5,5,6,3,3,4,5,5,2,3,3,6
252,1,2,1,4,4,4,4,4,3,5,4,4
253,3,3,3,2,2,2,4,4,5,3,6,6
254,4,4,5,5,5,5,4,4,5,5,5,6
255,5,4,5,5,4,4,5,5,3,2,5,6
256,4,5,4,3,3,3,2,2,4,3,4,3
257,4,3,4,5,6,4,6,6,4,3,6,4
258,4,4,4,4,5,5,4,4,2,4,5,5
259,4,5,6,6,6,6,4,5,6,2,5,4
260,5,5,4,5,5,5,4,3,3,6,6,2
261,1,1,1,4,5,3,7,7,2,4,4,6
262,4,4,5,3,3,2,4,4,3,4,5,2
263,4,4,5,5,5,4,4,4,2,4,4,3
264,1,2,3,5,5,5,4,4,5,4,6,6
265,6,5,5,6,6,6,5,5,4,4,7,6
266,4,3,5,5,6,5,6,7,2,6,3,2
267,5,5,5,4,4,3,4,4,5,4,3,3
268,5,5,5,4,5,4,3,3,5,6,7,4
269,5,4,6,5,5,6,5,4,5,5,5,5
270,5,5,4,4,4,3,3,3,4,6,3,3
271,3,3,3,6,6,6,5,5,6,4,3,4
272,3,4,3,4,4,4,5,5,3,5,7,2
273,5,5,5,5,5,5,6,6,6,3,2,3
274,5,4,5,2,2,3,5,5,6,4,4,5
275,4,5,4,7,7,7,6,6,4,5,5,3
276,5,6,5,4,4,4,3,3,5,5,6,6
277,5,5,4,4,5,4,5,5,4,2,4,5
278,5,5,6,5,5,5,5,5,4,5,4,4
279,4,4,5,4,4,4,4,4,3,3,7,4
280,2,3,3,5,4,5,5,5,3,4,4,3
281,4,4,5,5,5,5,4,4,3,3,3,5
282,5,4,6,4,4,4,3,3,6,4,4,3
283,4,4,3,5,5,5,4,4,4,3,5,3
284,5,5,5,7,6,7,4,3,5,6,6,6
285,4,4,5,4,4,4,3,3,5,5,6,4
286,4,4,4,4,4,4,4,4,4,6,4,4
287,6,7,7,1,1,1,3,3,3,4,4,7
288,6,6,7,5,4,5,4,4,5,6,4,5
289,3,3,3,5,5,4,5,4,4,7,4,3
290,4,5,4,4,3,4,5,4,3,7,6,2
291,5,5,5,5,5,5,3,3,5,1,4,5
292,3,3,4,4,4,4,4,4,4,4,5,3
293,3,3,3,5,5,6,3,3,2,6,5,3
294,5,4,5,6,6,5,4,4,6,3,5,5
295,3,3,4,6,6,6,4,3,5,5,4,6
296,6,6,5,4,6,3,2,2,3,2,7,5
297,4,5,4,4,3,5,5,5,5,1,4,4
298,4,5,4,6,5,5,6,6,4,4,4,5
299,3,4,4,4,4,5,6,6,3,5,5,3
300,3,4,4,6,6,5,4,4,3,3,5,4
