StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,s1d100_1,s1d2_2,s1d3_1,s1d4_1,s1d5_1,s1d6_1,s1d7_1,s1d8_1,s1d9_1,Q22_1,Q22_2,Q22_3,Q22_4,Q22_5,Q22_6,Q22_7,Q22_8,Q22_9,Q22_10,Q22_11,Q22_12,s1d4retest_1,s2d1_1,s2d2_1,s2d3_1,s2d4_1,s2d5_1,s2d6_1,s2d7_1,s2d8_1,s2d9_1,s2d4retest_1,FL_8_DO_FL_9,FL_8_DO_FL_10,SCALE1_DO_s1d100,SCALE1_DO_s1d3,SCALE1_DO_s1d4,SCALE1_DO_s1d8,SCALE1_DO_s1d9,SCALE1_DO_s1d7,SCALE1_DO_s1d2,SCALE1_DO_s1d5,SCALE1_DO_s1d6,SCALE2_DO_s2d7,SCALE2_DO_s2d6,SCALE2_DO_s2d5,SCALE2_DO_s2d4,SCALE2_DO_s2d3,SCALE2_DO_s2d2,SCALE2_DO_s2d1,SCALE2_DO_s2d9,SCALE2_DO_s2d8
2025-11-17T13:35:36Z,2025-11-17T13:37:50Z,IP Address,192.41.125.253,100,134,TRUE,2025-11-17T13:37:51Z,R_2VIMWL4U2p5eSHf,NA,NA,NA,NA,55.9489,-3.1632,anonymous,EN-GB,13,11,27,30,31,46,87,69,96,High Global Impact (Fundamental shift in history),Moderate Global Impact (Changed one aspect of global culture),Moderate Global Impact (Changed one aspect of global culture),High Global Impact (Fundamental shift in history),High Global Impact (Fundamental shift in history),Notable Regional Impact (Known by most historians),High Global Impact (Fundamental shift in history),High Global Impact (Fundamental shift in history),Moderate Global Impact (Changed one aspect of global culture),Moderate Global Impact (Changed one aspect of global culture),Moderate Global Impact (Changed one aspect of global culture),High Global Impact (Fundamental shift in history),34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,4,5,6,1,9,8,7,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA
2025-11-17T13:35:41Z,2025-11-17T13:38:00Z,IP Address,192.41.125.249,100,139,TRUE,2025-11-17T13:38:01Z,R_2P4wArnFaYFfEdP,NA,NA,NA,NA,55.9489,-3.1632,anonymous,EN-GB,11,18,27,30,37,63,56,70,90,World-Altering Significance (Legacy is undeniable and vast),World-Altering Significance (Legacy is undeniable and vast),World-Altering Significance (Legacy is undeniable and vast),Profound Global Impact (Redefined human civilization),High Global Impact (Fundamental shift in history),Notable Regional Impact (Known by most historians),Profound Global Impact (Redefined human civilization),Profound Global Impact (Redefined human civilization),Notable Regional Impact (Known by most historians),Moderate Global Impact (Changed one aspect of global culture),Minor Local Impact (Only influenced a small area/field),Profound Global Impact (Redefined human civilization),16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,4,7,8,2,5,3,6,9,NA,NA,NA,NA,NA,NA,NA,NA,NA
2025-11-17T13:35:40Z,2025-11-17T13:38:02Z,IP Address,192.41.125.254,100,142,TRUE,2025-11-17T13:38:02Z,R_8DbSR3RmoAfdycp,NA,NA,NA,NA,55.9489,-3.1632,anonymous,EN-GB,7,7,12,17,22,57,64,77,89,High Global Impact (Fundamental shift in history),High Global Impact (Fundamental shift in history),Almost None (Almost forgotten),World-Altering Significance (Legacy is undeniable and vast),World-Altering Significance (Legacy is undeniable and vast),Moderate Global Impact (Changed one aspect of global culture),World-Altering Significance (Legacy is undeniable and vast),Moderate Global Impact (Changed one aspect of global culture),Almost None (Almost forgotten),Notable Regional Impact (Known by most historians),Almost None (Almost forgotten),World-Altering Significance (Legacy is undeniable and vast),16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,6,4,5,7,9,2,8,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
2025-11-17T13:35:35Z,2025-11-17T13:38:13Z,IP Address,192.41.125.253,100,157,TRUE,2025-11-17T13:38:13Z,R_8OP2uL3Hb4vUbLj,NA,NA,NA,NA,55.9153,-3.1977,anonymous,EN-GB,NA,NA,NA,NA,NA,NA,NA,NA,NA,High Global Impact (Fundamental shift in history),Profound Global Impact (Redefined human civilization),High Global Impact (Fundamental shift in history),High Global Impact (Fundamental shift in history),Moderate Global Impact (Changed one aspect of global culture),Minor Local Impact (Only influenced a small area/field),Moderate Global Impact (Changed one aspect of global culture),Profound Global Impact (Redefined human civilization),Minor Local Impact (Only influenced a small area/field),Moderate Global Impact (Changed one aspect of global culture),Minor Local Impact (Only influenced a small area/field),High Global Impact (Fundamental shift in history),NA,19,8,21,38,28,85,100,100,100,43,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,2,5,3,8,7,1,6,9
2025-11-17T13:35:45Z,2025-11-17T13:38:25Z,IP Address,192.41.125.253,100,159,TRUE,2025-11-17T13:38:25Z,R_2QfTAHzq4S6uDw6,NA,NA,NA,NA,55.9489,-3.1632,anonymous,EN-GB,NA,NA,NA,NA,NA,NA,NA,NA,NA,High Global Impact (Fundamental shift in history),High Global Impact (Fundamental shift in history),High Global Impact (Fundamental shift in history),Moderate Global Impact (Changed one aspect of global culture),World-Altering Significance (Legacy is undeniable and vast),Moderate Global Impact (Changed one aspect of global culture),High Global Impact (Fundamental shift in history),Notable Regional Impact (Known by most historians),Notable Regional Impact (Known by most historians),World-Altering Significance (Legacy is undeniable and vast),Notable Regional Impact (Known by most historians),Moderate Global Impact (Changed one aspect of global culture),NA,17,23,19,28,31,69,81,90,91,28,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,2,7,5,9,6,8,3,1
2025-11-17T13:35:37Z,2025-11-17T13:38:26Z,IP Address,192.41.125.254,100,169,TRUE,2025-11-17T13:38:27Z,R_2mJGK1gwED4xeB8,NA,NA,NA,NA,55.9489,-3.1632,anonymous,EN-GB,NA,NA,NA,NA,NA,NA,NA,NA,NA,High Global Impact (Fundamental shift in history),Profound Global Impact (Redefined human civilization),High Global Impact (Fundamental shift in history),High Global Impact (Fundamental shift in history),Profound Global Impact (Redefined human civilization),Minor Local Impact (Only influenced a small area/field),Moderate Global Impact (Changed one aspect of global culture),Moderate Global Impact (Changed one aspect of global culture),Moderate Global Impact (Changed one aspect of global culture),Minor Local Impact (Only influenced a small area/field),Minor Local Impact (Only influenced a small area/field),Notable Regional Impact (Known by most historians),NA,22,64,31,58,50,82,73,94,99,34,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,5,4,1,9,2,6,8,7
2025-11-17T13:35:39Z,2025-11-17T13:38:33Z,IP Address,192.41.125.253,100,173,TRUE,2025-11-17T13:38:33Z,R_2EcGlGsYucs2AzT,NA,NA,NA,NA,55.9489,-3.1632,anonymous,EN-GB,3,22,13,53,47,68,91,96,99,Moderate Global Impact (Changed one aspect of global culture),High Global Impact (Fundamental shift in history),High Global Impact (Fundamental shift in history),High Global Impact (Fundamental shift in history),Moderate Global Impact (Changed one aspect of global culture),Notable Regional Impact (Known by most historians),Profound Global Impact (Redefined human civilization),World-Altering Significance (Legacy is undeniable and vast),Notable Regional Impact (Known by most historians),Notable Regional Impact (Known by most historians),Notable Regional Impact (Known by most historians),High Global Impact (Fundamental shift in history),48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,8,7,3,5,9,4,2,6,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
2025-11-17T13:35:43Z,2025-11-17T13:38:37Z,IP Address,192.41.125.254,100,173,TRUE,2025-11-17T13:38:38Z,R_8mZdGna5S5xqwyR,NA,NA,NA,NA,55.9489,-3.1632,anonymous,EN-GB,NA,NA,NA,NA,NA,NA,NA,NA,NA,Minor Local Impact (Only influenced a small area/field),World-Altering Significance (Legacy is undeniable and vast),High Global Impact (Fundamental shift in history),Profound Global Impact (Redefined human civilization),World-Altering Significance (Legacy is undeniable and vast),Moderate Global Impact (Changed one aspect of global culture),World-Altering Significance (Legacy is undeniable and vast),Almost None (Almost forgotten),Minor Local Impact (Only influenced a small area/field),Profound Global Impact (Redefined human civilization),Almost None (Almost forgotten),Moderate Global Impact (Changed one aspect of global culture),NA,13,30,51,65,44,43,91,83,100,28,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,8,2,3,5,4,7,9,1
2025-11-17T13:35:42Z,2025-11-17T13:38:43Z,IP Address,192.41.125.249,100,180,TRUE,2025-11-17T13:38:43Z,R_2ffp8hohDnAxANc,NA,NA,NA,NA,55.9489,-3.1632,anonymous,EN-GB,NA,NA,NA,NA,NA,NA,NA,NA,NA,Moderate Global Impact (Changed one aspect of global culture),Profound Global Impact (Redefined human civilization),Almost None (Almost forgotten),World-Altering Significance (Legacy is undeniable and vast),World-Altering Significance (Legacy is undeniable and vast),World-Altering Significance (Legacy is undeniable and vast),World-Altering Significance (Legacy is undeniable and vast),Almost None (Almost forgotten),Notable Regional Impact (Known by most historians),World-Altering Significance (Legacy is undeniable and vast),Almost None (Almost forgotten),Moderate Global Impact (Changed one aspect of global culture),NA,10,12,26,34,41,54,90,97,100,45,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,6,9,7,5,4,1,3,2
2025-11-17T13:35:37Z,2025-11-17T13:38:44Z,IP Address,192.41.125.255,100,186,TRUE,2025-11-17T13:38:44Z,R_8rRKhWYam521DVL,NA,NA,NA,NA,55.9489,-3.1632,anonymous,EN-GB,4,4,4,15,38,51,89,91,98,Notable Regional Impact (Known by most historians),World-Altering Significance (Legacy is undeniable and vast),Almost None (Almost forgotten),Profound Global Impact (Redefined human civilization),Profound Global Impact (Redefined human civilization),World-Altering Significance (Legacy is undeniable and vast),Profound Global Impact (Redefined human civilization),Almost None (Almost forgotten),High Global Impact (Fundamental shift in history),Minor Local Impact (Only influenced a small area/field),Almost None (Almost forgotten),High Global Impact (Fundamental shift in history),10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,4,8,3,6,5,2,9,1,7,NA,NA,NA,NA,NA,NA,NA,NA,NA
2025-11-17T13:35:55Z,2025-11-17T13:38:47Z,IP Address,192.41.125.249,100,172,TRUE,2025-11-17T13:38:47Z,R_8wyFAh0ZnLhaQeZ,NA,NA,NA,NA,55.9489,-3.1632,anonymous,EN-GB,21,19,38,32,41,63,69,86,92,Almost None (Almost forgotten),Almost None (Almost forgotten),Almost None (Almost forgotten),World-Altering Significance (Legacy is undeniable and vast),World-Altering Significance (Legacy is undeniable and vast),Almost None (Almost forgotten),Almost None (Almost forgotten),Almost None (Almost forgotten),Almost None (Almost forgotten),High Global Impact (Fundamental shift in history),Notable Regional Impact (Known by most historians),World-Altering Significance (Legacy is undeniable and vast),30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,6,5,3,9,8,2,4,1,7,NA,NA,NA,NA,NA,NA,NA,NA,NA
2025-11-17T13:36:12Z,2025-11-17T13:38:48Z,IP Address,149.202.169.159,100,155,TRUE,2025-11-17T13:38:48Z,R_25XD0JF1i6qPDS2,NA,NA,NA,NA,48.8582,2.3387,anonymous,EN-GB,NA,NA,NA,NA,NA,NA,NA,NA,NA,World-Altering Significance (Legacy is undeniable and vast),High Global Impact (Fundamental shift in history),World-Altering Significance (Legacy is undeniable and vast),World-Altering Significance (Legacy is undeniable and vast),World-Altering Significance (Legacy is undeniable and vast),Moderate Global Impact (Changed one aspect of global culture),High Global Impact (Fundamental shift in history),Profound Global Impact (Redefined human civilization),Notable Regional Impact (Known by most historians),High Global Impact (Fundamental shift in history),Notable Regional Impact (Known by most historians),Profound Global Impact (Redefined human civilization),NA,0,1,5,9,11,31,77,94,100,18,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,2,5,6,4,9,8,7
2025-11-17T13:35:43Z,2025-11-17T13:38:49Z,IP Address,192.41.125.249,100,186,TRUE,2025-11-17T13:38:49Z,R_8dNij57xUWcxr6p,NA,NA,NA,NA,55.9489,-3.1632,anonymous,EN-GB,NA,NA,NA,NA,NA,NA,NA,NA,NA,High Global Impact (Fundamental shift in history),Profound Global Impact (Redefined human civilization),High Global Impact (Fundamental shift in history),World-Altering Significance (Legacy is undeniable and vast),World-Altering Significance (Legacy is undeniable and vast),Minor Local Impact (Only influenced a small area/field),High Global Impact (Fundamental shift in history),World-Altering Significance (Legacy is undeniable and vast),Almost None (Almost forgotten),High Global Impact (Fundamental shift in history),Almost None (Almost forgotten),Moderate Global Impact (Changed one aspect of global culture),NA,21,20,21,36,27,55,81,81,90,27,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,4,2,3,9,8,5,6,1
2025-11-17T13:35:33Z,2025-11-17T13:38:49Z,IP Address,192.41.125.249,100,196,TRUE,2025-11-17T13:38:49Z,R_2IHIyKwAivbd5Dz,NA,NA,NA,NA,55.9489,-3.1632,anonymous,EN-GB,30,15,59,77,70,85,89,94,98,Moderate Global Impact (Changed one aspect of global culture),High Global Impact (Fundamental shift in history),Moderate Global Impact (Changed one aspect of global culture),Profound Global Impact (Redefined human civilization),World-Altering Significance (Legacy is undeniable and vast),Moderate Global Impact (Changed one aspect of global culture),Profound Global Impact (Redefined human civilization),High Global Impact (Fundamental shift in history),Moderate Global Impact (Changed one aspect of global culture),World-Altering Significance (Legacy is undeniable and vast),Moderate Global Impact (Changed one aspect of global culture),Moderate Global Impact (Changed one aspect of global culture),53,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,2,4,3,5,7,9,8,1,6,NA,NA,NA,NA,NA,NA,NA,NA,NA
2025-11-17T13:35:35Z,2025-11-17T13:38:53Z,IP Address,104.28.89.76,100,198,TRUE,2025-11-17T13:38:53Z,R_2j9Jty1YvBRGYLv,NA,NA,NA,NA,51.5081,-0.1278,anonymous,EN-GB,NA,NA,NA,NA,NA,NA,NA,NA,NA,High Global Impact (Fundamental shift in history),Profound Global Impact (Redefined human civilization),Profound Global Impact (Redefined human civilization),High Global Impact (Fundamental shift in history),High Global Impact (Fundamental shift in history),Notable Regional Impact (Known by most historians),High Global Impact (Fundamental shift in history),Minor Local Impact (Only influenced a small area/field),Notable Regional Impact (Known by most historians),High Global Impact (Fundamental shift in history),Moderate Global Impact (Changed one aspect of global culture),High Global Impact (Fundamental shift in history),NA,31,18,26,42,51,65,95,96,100,30,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,4,5,8,6,7,1,3,2
2025-11-17T13:35:40Z,2025-11-17T13:38:58Z,IP Address,192.41.125.255,100,198,TRUE,2025-11-17T13:38:58Z,R_2uOH7ap7CYRPDFn,NA,NA,NA,NA,55.9489,-3.1632,anonymous,EN-GB,NA,NA,NA,NA,NA,NA,NA,NA,NA,Notable Regional Impact (Known by most historians),High Global Impact (Fundamental shift in history),World-Altering Significance (Legacy is undeniable and vast),Profound Global Impact (Redefined human civilization),High Global Impact (Fundamental shift in history),World-Altering Significance (Legacy is undeniable and vast),Profound Global Impact (Redefined human civilization),High Global Impact (Fundamental shift in history),Moderate Global Impact (Changed one aspect of global culture),Notable Regional Impact (Known by most historians),Moderate Global Impact (Changed one aspect of global culture),Moderate Global Impact (Changed one aspect of global culture),NA,3,15,15,20,33,52,72,80,83,21,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,4,3,5,7,1,9,2,6
2025-11-17T13:35:53Z,2025-11-17T13:39:01Z,IP Address,192.41.125.253,100,187,TRUE,2025-11-17T13:39:01Z,R_2lbYBcaYgD6IyV8,NA,NA,NA,NA,55.9153,-3.1977,anonymous,EN-GB,13,46,27,66,49,69,72,79,93,High Global Impact (Fundamental shift in history),High Global Impact (Fundamental shift in history),Profound Global Impact (Redefined human civilization),World-Altering Significance (Legacy is undeniable and vast),Profound Global Impact (Redefined human civilization),Moderate Global Impact (Changed one aspect of global culture),High Global Impact (Fundamental shift in history),Notable Regional Impact (Known by most historians),Notable Regional Impact (Known by most historians),Profound Global Impact (Redefined human civilization),Notable Regional Impact (Known by most historians),High Global Impact (Fundamental shift in history),40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,6,5,2,4,3,7,1,9,8,NA,NA,NA,NA,NA,NA,NA,NA,NA
2025-11-17T13:35:44Z,2025-11-17T13:39:02Z,IP Address,192.41.125.255,100,197,TRUE,2025-11-17T13:39:03Z,R_8LbRZp3H0B4l1Rz,NA,NA,NA,NA,55.9489,-3.1632,anonymous,EN-GB,1,4,8,13,38,50,90,95,99,High Global Impact (Fundamental shift in history),High Global Impact (Fundamental shift in history),Almost None (Almost forgotten),Profound Global Impact (Redefined human civilization),Notable Regional Impact (Known by most historians),World-Altering Significance (Legacy is undeniable and vast),Profound Global Impact (Redefined human civilization),Almost None (Almost forgotten),Almost None (Almost forgotten),Minor Local Impact (Only influenced a small area/field),Almost None (Almost forgotten),High Global Impact (Fundamental shift in history),13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,8,9,7,4,6,2,5,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA
