SeedCode,LA Name,Centre Type,School Name,Address 1,Address 2,Address 3,Post code,E-mail,Phone,Primary,Secondary,Special,Primary roll,Secondary roll,Special roll,Primary,Secondary ,Special,6-Fold Urban/rural measure(1),8-fold Urban/rural measure(1),Denomination,Proportion of pupils from minority ethnic groups(3),Proportion of pupils who live in 20% most deprived datazones in Scotland(4)
5145023,Highland,Local Authority,Abernethy Primary School,Nethybridge,,,PH25 3ED,abernethy.primary@highland.gov.uk,01479 821274,Primary,.,.,55,.,.,3.79,.,.,Remote rural areas,Remote rural areas,Non-denominational,5 - <10%,0%
5340128,Perth & Kinross,Local Authority,Abernethy Primary School,78 Main Street,Abernethy,,PH2 9LA,Abernethy@pkc.gov.uk,01738 472676,Primary,.,.,124,.,.,7.98,.,.,Accessible rural areas,Accessible rural areas,Non-denominational,0 - <5%,0%
5340225,Perth & Kinross,Local Authority,Abernyte Primary School,Abernyte,Inchture,,PH14 9ST,Abernyte@pkc.gov.uk,01738 459590,Primary,.,.,6,.,.,1.22,.,.,Accessible rural areas,Accessible rural areas,Non-denominational,0%,0%
5340322,Perth & Kinross,Local Authority,Aberuthven Primary School,Main Road,Aberuthven,PERTHSHIRE,PH3 1HE,Aberuthven@pkc.gov.uk,01764 661410,Primary,.,.,14,.,.,2.53,.,.,Accessible rural areas,Accessible rural areas,Non-denominational,>20%,0%
8545022,South Lanarkshire,Local Authority,Abington Primary School,Carlisle Road,Abington,BIGGAR,ML12 6SD,office@abington-pri.s-lanark.sch.uk,01864 502341,Primary,.,.,34,.,.,3,.,.,Accessible rural areas,Accessible rural areas,Non-denominational,*,0%
5257530,Aberdeenshire,Local Authority,Aboyne Academy,Bridgeview Road,Aboyne,ABERDEENSHIRE,AB34 5JN,aboyne.aca@aberdeenshire.gov.uk,01339 267750,.,Secondary,.,.,707,.,.,62.4,.,Remote rural areas,Remote rural areas,Non-denominational,5 - <10%,0%
5256127,Aberdeenshire,Local Authority,Aboyne Primary School,Morven Plance,Aboyne,ABERDEENSHIRE,AB34 5JN,aboyne.sch@aberdeenshire.gov.uk,013398 86638,Primary,.,.,301,.,.,21.3,.,.,Remote rural areas,Remote rural areas,Non-denominational,5 - <10%,0%
8357021,North Lanarkshire,Local Authority,Abronhill Primary School,Medlar Road,Abronhill,CUMBERNAULD,G67 3AJ,ht@abronhill-pri.n-lanark.sch.uk,01236 794870,Primary,.,.,188,.,.,9.2,.,.,Other urban areas,Other urban areas,Non-denominational,5 - <10%,0 - <5%
8100128,Argyll & Bute,Local Authority,Achahoish Primary School,Achahoish,Lochgilphead,ARGYLL,PA31 8NZ,enquiries-achahoish@argyll-bute.gov.uk,01880 770288,Primary,.,.,10,.,.,1.4,.,.,Remote rural areas,Very Remote Rural,Non-denominational,*,0%
8100225,Argyll & Bute,Local Authority,Achaleven Primary School,Connel,By Oban,ARGYLL,PA37 1PH,enquiries-achaleven@argyll-bute.gov.uk,01631 710529,Primary,.,.,13,.,.,1.3,.,.,Remote rural areas,Very Remote Rural,Non-denominational,0%,0%
5130123,Highland,Local Authority,Acharacle Primary School,Acharacle,Argyll,,PH36 4JU,acharacle.primary@highland.gov.uk,01967 431645,Primary,.,.,47,.,.,5.17,.,.,Remote rural areas,Very Remote Rural,Non-denominational,*,0%
5113024,Highland,Local Authority,Achiltibuie Primary School,Achiltibuie,Ullapool,,IV26 2YG,achiltibuie.primary@highland.gov.uk,01854 622267,Primary,.,.,16,.,.,2,.,.,Remote rural areas,Very Remote Rural,Non-denominational,*,0%
5500125,West Lothian,Local Authority,Addiewell Primary School,Church Street,Addiewell,WEST CALDER,EH55 8PG,wladdiewell-ps@westlothian.org.uk,01501 762794,Primary,.,.,98,.,.,8.56,.,.,Accessible small towns,Accessible small towns,Non-denominational,5 - <10%,55 - <60%
5935121,Dumfries & Galloway,Local Authority,Ae School,Ae Village,Dumfries,,DG1 1RG,gw08officeae@ea.dumgal.sch.uk,01387 860229,Primary,.,.,16,.,.,1.5,.,.,Accessible rural areas,Accessible rural areas,Non-denominational,*,0%
8640122,Inverclyde,Local Authority,Aileymill Primary School,Norfolk Road,,GREENOCK,PA16 0JG,INAileymill@glowscotland.onmicrosoft.com,01475 715647,Primary,.,.,370,.,.,21.4,.,.,Other urban areas,Other urban areas,Non-denominational,0 - <5%,60 - <65%
8505438,North Lanarkshire,Local Authority,Airdrie Academy,South Commonhead Avenue,Airdrie,,ML6 6NX,ht@airdrie.n-lanark.sch.uk,01236 757675,.,Secondary,.,.,1041,.,.,80.6,.,Other urban areas,Other urban areas,Non-denominational,5 - <10%,35 - <40%
5300223,Angus,Local Authority,Airlie Primary School,Kirkton Road,Airlie,KIRRIEMUIR,DD8 5NP,Airlie@angusschools.org.uk,01575 530254,Primary,.,.,31,.,.,3.11,.,.,Accessible rural areas,Accessible rural areas,Non-denominational,0%,0%
5740223,Falkirk,Local Authority,Airth Primary School,Elphinstone Crescent,Airth,FALKIRK,FK2 8JX,airthprimaryschool@falkirk.gov.uk,01324 831265,Primary,.,.,164,.,.,11,.,.,Accessible rural areas,Accessible rural areas,Non-denominational,5 - <10%,*
5237629,Aberdeen City,Local Authority,Airyhall School,Countesswells Road,Aberdeen,,AB15 8AD,airyhall@aberdeencity.gov.uk,01224 498050,Primary,.,.,353,.,.,19.99,.,.,Large urban areas,Large urban areas,Non-denominational,>20%,0%
6103030,Shetland Islands,Local Authority,Aith Junior High School,Aith,Shetland,,ZE2 9NB,aith@shetland.gov.uk,01595 807400,Primary,Secondary,.,100,79,.,7.84,10.67,.,Remote rural areas,Very Remote Rural,Non-denominational,*,0%
8301727,West Dunbartonshire,Local Authority,Aitkenbar Primary School,Bellsmyre Campus,Howatshaws Road,DUMBARTON,G82 3DR,SchoolOffice.Aitkenbar@west-dunbarton.gov.uk,01389 773901,Primary,.,.,190,.,.,13,.,.,Other urban areas,Other urban areas,Non-denominational,*,25 - <30%
8519323,North Lanarkshire,Local Authority,Aitkenhead Primary School,Lincoln Avenue,Tannochside,UDDINGSTON,G71 5QZ,ht@aitkenhead.n-lanark.sch.uk,01698 522710,Primary,.,.,165,.,.,9.2,.,.,Other urban areas,Other urban areas,Non-denominational,0 - <5%,5 - <10%
1003593,Glasgow City,Independent,Al Khalil College,Abbotsford House,Abbotsford Place,GLASGOW,G5 9SS,registration@alkhalilcollege.com,0141 258 5951,Primary,Secondary,.,N/A,N/A,N/A,N/A,N/A,N/A,Large urban areas,Large urban areas,Muslim,N/A,N/A
5281938,Aberdeen City,Independent,Albyn School,17-23 Queens Road,Aberdeen,,AB15 4PB,information@albynschool.co.uk,01224 322408,Primary,Secondary,.,N/A,N/A,N/A,N/A,N/A,N/A,Large urban areas,Large urban areas,Non-denominational,N/A,N/A
5137527,Highland,Local Authority,Aldourie Primary School,Aldourie,By Inverness,,IV2 6DP,aldourie.primary@highland.gov.uk,01463 751272,Primary,.,.,32,.,.,3.06,.,.,Accessible rural areas,Accessible rural areas,Non-denominational,*,*
5232422,Aberdeenshire,Local Authority,Alehousewells School,Bremner Way,Kemnay Inverurie,ABERDEENSHIRE,AB51 5FW,alehousewells.sch@aberdeenshire.gov.uk,01467 536910,Primary,.,.,136,.,.,9,.,.,Accessible small towns,Accessible small towns,Non-denominational,5 - <10%,0%
8516421,North Lanarkshire,Local Authority,Alexander Peden Primary,West Main Street,Harthill,SHOTTS,ML7 5TU,ht@alexanderpeden.n-lanark.sch.uk,01501 826709,Primary,.,.,205,.,.,12.6,.,.,Accessible small towns,Accessible small towns,Non-denominational,5 - <10%,50 - <55%
8405328,Glasgow City,Local Authority,Alexandra Parade Primary School,136 Armadale Street,,GLASGOW,G31 2TL,headteacher@alexandraparade-pri.glasgow.sch.uk,0141 554 3742,Primary,.,.,388,.,.,24,.,.,Large urban areas,Large urban areas,Non-denominational,>20%,50 - <55%
5230934,Aberdeenshire,Local Authority,Alford Academy,Alford Community Campus,Greystone Road,ALFORD,AB33 8TY,alford.aca@aberdeenshire.gov.uk,019755 62251,.,Secondary,.,.,655,.,.,57.5,.,Remote rural areas,Remote rural areas,Non-denominational,5 - <10%,0%
5224020,Aberdeenshire,Local Authority,Alford Primary School,Alford Community Campus,Greystone Road,ALFORD,AB33 8TY,alford.sch@aberdeenshire.gov.uk,019755 62395,Primary,.,.,328,.,.,20.6,.,.,Remote rural areas,Remote rural areas,Non-denominational,5 - <10%,0%
8640220,Inverclyde,Local Authority,All Saints Primary School,Blairmore Road,,GREENOCK,PA15 3JS,INAllSaints@glowscotland.onmicrosoft.com,01475 715640,Primary,.,.,361,.,.,29.4,.,.,Other urban areas,Other urban areas,Roman Catholic,0 - <5%,80 - <85%
8500320,North Lanarkshire,Local Authority,All Saints Primary School,88 Bellsdyke Road,Cairnhill,AIRDRIE,ML6 9DW,ht@allsaints.n-lanark.sch.uk,01236 794808,Primary,.,.,268,.,.,12.9,.,.,Other urban areas,Other urban areas,Roman Catholic,5 - <10%,10 - <15%
8431930,Glasgow City,Local Authority,All Saints Secondary School,299 Ryehill Road,,GLASGOW,G21 3EN,headteacher@allsaints-sec.glasgow.sch.uk,0141 582 0010,.,Secondary,.,.,838,.,.,65.9,.,Large urban areas,Large urban areas,Roman Catholic,10 - <20%,80 - <85%
5724821,Stirling,Local Authority,Allan's Primary School,29 Spittal Street,Stirling,,FK8 1DU,allanps@stirling.gov.uk,01786 474757,Primary,.,.,152,.,.,10.7,.,.,Other urban areas,Other urban areas,Non-denominational,>20%,25 - <30%
8510326,North Lanarkshire,Local Authority,Allanton Primary School,Dura Road,Allanton,SHOTTS,ML7 5AB,ht@allanton.n-lanark.sch.uk,01501 826703,Primary,.,.,85,.,.,7.4,.,.,Accessible rural areas,Accessible rural areas,Non-denominational,*,*
5702534,Clackmannanshire,Local Authority,Alloa Academy,Bowhouse Road,Alloa,,FK10 1DN,alloa@edu.clacks.gov.uk,01259 214979,.,Secondary,.,.,659,.,.,68.19,.,Other urban areas,Other urban areas,Non-denominational,5 - <10%,40 - <45%
8230625,South Ayrshire,Local Authority,Alloway Primary School,16 Doonholm Road,Ayr,,KA7 4QQ,alloway.mail@south-ayrshire.gov.uk,01292 612490,Primary,.,.,419,.,.,21.7,.,.,Other urban areas,Other urban areas,Non-denominational,5 - <10%,0 - <5%
5120136,Highland,Local Authority,Alness Academy,Dalmore,,ALNESS,IV17 0UY,alness.academy@highland.gov.uk,01349 883341,.,Secondary,.,.,382,.,.,38.8,.,Remote rural areas,Remote rural areas,Non-denominational,5 - <10%,50 - <55%
8480028,Glasgow City,Independent,Al-Qalam Primary School,159 Nithsdale Road,Glasgow,,G41 5QS,schools@qalam-academy.org.uk,0141 420 3164,Primary,.,.,N/A,N/A,N/A,N/A,N/A,N/A,Large urban areas,Large urban areas,Muslim,N/A,N/A
5702836,Clackmannanshire,Local Authority,Alva Academy,Academy Avenue,Alva,,FK12 5FE,alva@edu.clacks.gov.uk,01259 760342,.,Secondary,.,.,849,.,.,64.24,.,Accessible small towns,Accessible small towns,Non-denominational,5 - <10%,10 - <15%
5700825,Clackmannanshire,Local Authority,Alva Primary School,Brook Street,Alva,,FK12 5LY,alvaprimary@edu.clacks.gov.uk,01259 760987,Primary,.,.,338,.,.,27.2,.,.,Accessible small towns,Accessible small towns,Non-denominational,5 - <10%,5 - <10%
5200326,Moray,Local Authority,Alves Primary School,Main Road,Alves,MORAY,IV30 8UR,admin.alvesp@moray-edunet.gov.uk,01343 850247,Primary,.,.,67,.,.,4.8,.,.,Accessible rural areas,Accessible rural areas,Non-denominational,0%,0%
5145120,Highland,Local Authority,Alvie Primary School,Kincraig,Kingussie,,PH21 1ND,alvie.primary@highland.gov.uk,01540 651238,Primary,.,.,47,.,.,3.3,.,.,Remote rural areas,Remote rural areas,Non-denominational,10 - <20%,0%
5352223,Perth & Kinross,Local Authority,Alyth Primary School,Albert Street,Alyth,,PH11 8AX,alyth@pkc.gov.uk,01250 871370,Primary,.,.,171,.,.,11.55,.,.,Accessible rural areas,Accessible rural areas,Non-denominational,0 - <5%,*
5935229,Dumfries & Galloway,Local Authority,Amisfield School,Amisfield,Dumfries,,DG1 3LN,gw08officeamisfield@ea.dumgal.sch.uk,01387 710320,Primary,.,.,45,.,.,2.7,.,.,Accessible rural areas,Accessible rural areas,Non-denominational,*,*
5630029,Scottish Borders,Local Authority,Ancrum Primary School,Jedburgh,Roxburghshire,,TD8 6XA,ancrumps@scotborders.gov.uk,01835 830208,Primary,.,.,36,.,.,3.03,.,.,Accessible rural areas,Accessible rural areas,Non-denominational,*,0%
5323320,Dundee City,Local Authority,Ancrum Road Primary School,45 Ancrum Road,Dundee,,DD2 2HX,ancrumroad.primary@dundeecity.gov.uk,01382 435929,Primary,.,.,375,.,.,19.8,.,.,Large urban areas,Large urban areas,Non-denominational,10 - <20%,35 - <40%
6103634,Shetland Islands,Local Authority,Anderson High School,North Loch Drive,Lerwick,SHETLAND,ZE1 0GR,anderson@shetland.gov.uk,01595 808008,.,Secondary,.,.,918,.,.,79.17,.,Remote rural areas,Very Remote Rural,Non-denominational,10 - <20%,0%
5201322,Moray,Local Authority,Anderson's Primary School,High Street,Forres,MORAY,IV36 1DB,admin.andersonsp@moray-edunet.gov.uk,01309 672887,Primary,.,.,250,.,.,14.2,.,.,Other urban areas,Other urban areas,Non-denominational,10 - <20%,0%
8405425,Glasgow City,Local Authority,Anderston Primary School,7 Port Street,,GLASGOW,G3 8HY,headteacher@anderston-pri.glasgow.sch.uk,0141 221 1263,Primary,.,.,166,.,.,11.2,.,.,Large urban areas,Large urban areas,Non-denominational,>20%,30 - <35%
5301424,Angus,Local Authority,Andover Primary School,50A Drumachlie Park,Brechin,,DD9 7BU,Andover@angusschools.org.uk,01356 627427,Primary,.,.,263,.,.,19.54,.,.,Accessible small towns,Accessible small towns,Non-denominational,>20%,10 - <15%
5221447,Aberdeenshire,Local Authority,Anna Ritchie School,Grange Gardens,Peterhead,ABERDEENSHIRE,AB42 2AP,annaritchie.sch@aberdeenshire.gov.uk,01779 403670,.,.,Special,.,.,61,.,.,14.8,Other urban areas,Other urban areas,Non-denominational,10 - <20%,15 - <20%
5948339,Dumfries & Galloway,Local Authority,Annan Academy,St John's Road,Annan,DUMFRIESSHIRE,DG12 6AP,gw08officeannan@ea.dumgal.sch.uk,01461 202954,.,Secondary,.,.,838,.,.,61.5,.,Accessible small towns,Accessible small towns,Non-denominational,5 - <10%,5 - <10%
8221723,East Ayrshire,Local Authority,Annanhill Primary School,Beech Avenue,Kilmarnock,,KA1 2EW,emma.johnstone@east-ayrshire.gov.uk,01563 549988,Primary,.,.,493,.,.,26.4,.,.,Other urban areas,Other urban areas,Non-denominational,5 - <10%,10 - <15%
8230323,South Ayrshire,Local Authority,Annbank Primary School,39 Annbank Road,Mossblown,AYR,KA6 5DZ,annbank.mail@south-ayrshire.gov.uk,01292 612493,Primary,.,.,230,.,.,14,.,.,Accessible rural areas,Accessible rural areas,Non-denominational,0%,*
8405522,Glasgow City,Local Authority,Annette Street Primary School,27 Annette Street,,GLASGOW,G42 8YB,headteacher@annettestreet-pri.glasgow.sch.uk,0141 423 0192,Primary,.,.,188,.,.,14.9,.,.,Large urban areas,Large urban areas,Non-denominational,>20%,90 - <95%
8218323,North Ayrshire,Local Authority,Annick Primary School,Bensley Rise,Girdle Toll,IRVINE,KA11 1BQ,annick@ea.n-ayrshire.sch.uk,01294 211654,Primary,.,.,371,.,.,18.4,.,.,Other urban areas,Other urban areas,Non-denominational,0 - <5%,5 - <10%
5400023,Fife,Local Authority,Anstruther Primary School,St Andrew's Road,Anstruther,FIFE,KY10 3HD,anstrutherps.enquiries@fife.gov.uk,01334 659447,Primary,.,.,324,.,.,19.5,.,.,Accessible small towns,Accessible small towns,Non-denominational,0 - <5%,0%
5759226,Falkirk,Local Authority,Antonine Primary School,Broomhill Road,Bonnybridge,,FK4 2AN,antonineprimaryschool@falkirk.gov.uk,01324 503140,Primary,.,.,233,.,.,13.2,.,.,Other urban areas,Other urban areas,Non-denominational,0 - <5%,*
8411921,Glasgow City,Local Authority,Antonine Primary School,4 Abbotshall Avenue,,GLASGOW,G15 8PR,headteacher@antonine-pri.glasgow.sch.uk,0141 944 6923,Primary,.,.,312,.,.,19.9,.,.,Large urban areas,Large urban areas,Non-denominational,5 - <10%,85 - <90%
5113229,Highland,Local Authority,Applecross Primary School,Applecross,Strathcarron,ROSS-SHIRE,IV54 8LU,applecross.primary@highland.gov.uk,01520 744325,Primary,.,.,10,.,.,1.55,.,.,Remote rural areas,Very Remote Rural,Non-denominational,0%,0%
5945429,Dumfries & Galloway,Local Authority,Applegarth School,Lockerbie,Dumfriesshire,,DG11 2SH,gw08officeapplegarth@ea.dumgal.sch.uk,01576 202228,Primary,.,.,30,.,.,2.79,.,.,Accessible rural areas,Accessible rural areas,Non-denominational,*,0%
5201527,Moray,Local Authority,Applegrove Primary School,Orchard Road,Forres,MORAY,IV36 1PJ,admin.applegrovep2@moray-edunet.gov.uk,01309 672367,Primary,.,.,273,.,.,14.8,.,.,Other urban areas,Other urban areas,Non-denominational,5 - <10%,0%
5300320,Angus,Local Authority,Arbirlot Primary School,Arbirlot,By Arbroath,,DD11 2PZ,Arbirlot@angusschools.org.uk,01241 438185,Primary,.,.,22,.,.,2.94,.,.,Accessible rural areas,Accessible rural areas,Non-denominational,*,*
5307031,Angus,Local Authority,Arbroath Academy,Glenisla Drive,Arbroath,,DD11 5JD,Arbroathacademy@angusschools.org.uk,01241 438200,.,Secondary,.,.,693,.,.,63.5,.,Other urban areas,Other urban areas,Non-denominational,5 - <10%,30 - <35%
5307139,Angus,Local Authority,Arbroath High School,Keptie Road,Arbroath,,DD11 3EN,ArbroathHigh@angusschools.org.uk,01241 438300,.,Secondary,.,.,845,.,.,70.91,.,Other urban areas,Other urban areas,Non-denominational,5 - <10%,15 - <20%
8214123,North Ayrshire,Local Authority,Ardeer Primary School,Clark Crescent,,STEVENSTON,KA20 3LZ,ardeer@ea.n-ayrshire.sch.uk,01294 469785,Primary,.,.,152,.,.,12,.,.,Other urban areas,Other urban areas,Non-denominational,5 - <10%,75 - <80%
5137624,Highland,Local Authority,Ardersier Primary School,Ardersier,,,IV2 7SW,ardersier.primary@highland.gov.uk,01667 462344,Primary,.,.,117,.,.,7.8,.,.,Accessible rural areas,Accessible rural areas,Non-denominational,5 - <10%,0%
8680140,Renfrewshire,Independent,Ardfern Learning Centre - Johnstone,Floors Industrial Estate,Unit C & D - Floors Street,JOHNSTONE,PA5 8PE,James.501telford@btinternet.com,07973 145999,.,.,Special,N/A,N/A,N/A,N/A,N/A,N/A,Large urban areas,Large urban areas,Non-denominational,N/A,N/A
5130220,Highland,Local Authority,Ardgour Primary School,Ardgour,By Fort William,,PH33 7AB,ardgour.primary@highland.gov.uk,01855 841347,Primary,.,.,27,.,.,2.33,.,.,Remote rural areas,Very Remote Rural,Non-denominational,*,0%
8640327,Inverclyde,Local Authority,Ardgowan Primary School,Newton Street,Greenock,,PA16 8SN,INArdgowan@glowscotland.onmicrosoft.com,01475 715683,Primary,.,.,405,.,.,21.2,.,.,Other urban areas,Other urban areas,Non-denominational,5 - <10%,25 - <30%
5323428,Dundee City,Local Authority,Ardler Primary School,Turnberry Avenue,Dundee,,DD2 3TP,ardler.primary@dundeecity.gov.uk,01382 436500,Primary,.,.,135,.,.,11.5,.,.,Large urban areas,Large urban areas,Non-denominational,5 - <10%,60 - <65%
5130239,Highland,Local Authority,Ardnamurchan High School,Drimnatorran,Strontian,ACHARCLE,PH36 4JA,ardnamurchan.high@highland.gov.uk,01397 700105,.,Secondary,.,.,114,.,.,15.57,.,Remote rural areas,Very Remote Rural,Non-denominational,5 - <10%,0%
8100926,Argyll & Bute,Local Authority,Ardrishaig Primary School,Glengilp Road,Ardrishaig,ARGYLL,PA30 8HF,enquiries-ardrishaig@argyll-bute.gov.uk,01546 603695,Primary,.,.,96,.,.,7.07,.,.,Remote rural areas,Very Remote Rural,Non-denominational,10 - <20%,0%
5113326,Highland,Local Authority,Ardross Primary School,Ardross,Alness,,IV17 0XW,ardross.primary@highland.gov.uk,01349 882345,Primary,.,.,35,.,.,2.5,.,.,Remote rural areas,Remote rural areas,Non-denominational,*,*
8214638,North Ayrshire,Local Authority,Ardrossan Academy,Sorbie Road,,ARDROSSAN,KA22 8AR,ardrossan@ea.n-ayrshire.sch.uk,01294 461931,.,Secondary,.,.,810,.,.,67.8,.,Other urban areas,Other urban areas,Non-denominational,0 - <5%,50 - <55%
5251524,Aberdeenshire,Local Authority,Arduthie School,Arduthie Road,Stonehaven,KINCARDINESHIRE,AB39 2DP,arduthie.sch@aberdeenshire.gov.uk,01569 762996,Primary,.,.,353,.,.,19.2,.,.,Other urban areas,Other urban areas,Non-denominational,10 - <20%,0%
5380235,Perth & Kinross,Independent,Ardvreck School,Gwydyr Road,Crieff,PERTHSHIRE,PH7 4EX,office@ardvreck.org.uk,01764 653112,Primary,Secondary,.,N/A,N/A,N/A,N/A,N/A,N/A,Remote small towns,Remote small towns,Non-denominational,N/A,N/A
8100829,Argyll & Bute,Local Authority,Arinagour Primary School,Arinagour,Isle Of Coll,ARGYLL,PA78 6TA,enquiries@arinagour.argyll-bute.sch.uk,01879 230376,Primary,.,.,7,.,.,1.4,.,.,Remote rural areas,Very Remote Rural,Non-denominational,0%,0%
5133327,Highland,Local Authority,Arisaig Primary School,Arisaig,,,PH39 4NH,arisaig.primary@highland.gov.uk,01687 450282,Primary,.,.,28,.,.,2.5,.,.,Remote rural areas,Very Remote Rural,Non-denominational,0%,0%
8626928,Renfrewshire,Local Authority,Arkleston Primary School,Cockels Loan,Renfrew,,PA4 0EL,arklestonenquiries@renfrewshire.gov.uk,0141 886 5473,Primary,.,.,271,.,.,15,.,.,Large urban areas,Large urban areas,Non-denominational,10 - <20%,5 - <10%
5509238,West Lothian,Local Authority,Armadale Academy,West Main Street,Armadale,WEST LOTHIAN,EH48 3LY,wlarmadale-ac@westlothian.org.uk,01506 282145,.,Secondary,.,.,1039,.,.,75.24,.,Other urban areas,Other urban areas,Non-denominational,5 - <10%,10 - <15%
5504627,West Lothian,Local Authority,Armadale Primary School,Academy Street,Armadale,WEST LOTHIAN,EH48 3JD,wlarmadale-ps@westlothian.org.uk,01501 730282,Primary,.,.,414,.,.,25,.,.,Other urban areas,Other urban areas,Non-denominational,5 - <10%,25 - <30%
5224128,Aberdeenshire,Local Authority,Arnage School,Auchnagatt,Ellon,ABERDEENSHIRE,AB41 8UX,arnage.sch@aberdeenshire.gov.uk,01358 701233,Primary,.,.,42,.,.,2.2,.,.,Accessible rural areas,Accessible rural areas,Non-denominational,*,0%
5340721,Perth & Kinross,Local Authority,Arngask Primary School,Main Street,Glenfarg,PERTH,PH2 9NT,Arngask@pkc.gov.uk,01577 867250,Primary,.,.,85,.,.,7.1,.,.,Accessible rural areas,Accessible rural areas,Non-denominational,*,0%
8200831,North Ayrshire,Local Authority,Arran High School,Lamlash,,ISLE OF ARRAN,KA27 8NG,arran@ea.n-ayrshire.sch.uk,01770 600341,.,Secondary,.,.,257,.,.,27.7,.,Remote rural areas,Very Remote Rural,Non-denominational,5 - <10%,0%
8300925,Argyll & Bute,Local Authority,Arrochar Primary School,Tarbet,Arrochar,,G83 7DG,enquiries-arrochar@argyll-bute.gov.uk,01301 702261,Primary,.,.,60,.,.,5.67,.,.,Accessible rural areas,Accessible rural areas,Non-denominational,*,0%
5237823,Aberdeen City,Local Authority,Ashley Road School,45 Ashley Road,Aberdeen,,AB10 6RU,ashleyroad@aberdeencity.gov.uk,01224 588732,Primary,.,.,397,.,.,19.7,.,.,Large urban areas,Large urban areas,Non-denominational,>20%,0%
