"","PEB","educ","hhincome","Dem","Rep","female","Ideology","age","urban","public","private","NEP","CNS","environmentalist","enviro.move","age.1","act.org","cand","money.org","cont.off","cont.bus","petition","meeting","product","water","buycott","recycle","energy","stocks","nep1","nep2_r","nep3","nep4_r","nep5","nep6_r","nep7","nep8_r","nep9","nep10_r","nep11","nep12_r","nep13","nep14_r","nep15","cns1","cns2","cns3","cns4_r","cns5","cns6","cns7","cns8","cns9","cns10","cns11","cns12_r","cns13","cns14_r","mes1_r","mes_2","mes_3","mes_4","mes_5","mes_6","mes_7","mes8_r","mes_9","mes10_r","mes_11","mes_12","mes_13","mes_14","mes_15","mes_16","mes_17","mes_18","mes_19","mes_20","mes_21","mes22_r","mes23_r","mes_24","mes_25","mes_26","mes27_r","MES"
"11",6,6,7,1,0,1,4,66,1,1,5,3.4,4,1,4,66,1,0,0,0,0,0,0,1,1,1,1,1,0,4,4,1,4,1,4,1,4,2,2,2,3,1,4,2,2,2,1,2,2,2,2,1,2,1,2,3,2,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12",6,2,6,1,0,0,2,36,3,1,5,4.13333333333333,4.5,0,3,36,0,1,0,0,0,0,0,1,1,1,1,1,0,1,4,1,2,1,3,1,2,1,1,1,3,2,4,1,1,1,2,1,1,1,2,1,1,1,1,3,1,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13",3,5,3,1,0,1,4,23,2,0,3,3.73333333333333,3.28571428571429,0,3,23,0,0,0,0,0,0,0,1,1,0,0,1,0,4,1,2,4,1,5,1,3,1,1,2,2,2,3,2,3,3,2,4,3,2,3,4,2,2,4,1,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14",7,2,2,1,0,1,3,32,1,3,4,4.6,3.71428571428571,0,3,32,0,1,0,1,0,1,0,1,1,1,1,0,0,1,2,1,1,1,2,1,2,1,1,2,1,2,2,1,2,2,1,3,3,2,2,2,2,2,3,2,1,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15",11,2,7,1,0,0,2,27,2,7,3,2.93333333333333,3.57142857142857,1,2,27,1,1,1,1,1,1,1,1,0,1,1,0,1,2,5,2,5,2,5,2,4,1,4,1,4,1,5,3,2,1,1,5,2,2,2,2,2,2,2,4,2,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16",0,3,7,0,1,0,5,57,3,0,0,3.26666666666667,3.35714285714286,0,1,57,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,1,4,2,4,1,3,2,4,2,4,2,2,3,3,3,2,2,2,3,3,3,3,2,3,3,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17",8,5,5,1,0,1,1,33,2,4,3,3.06666666666667,3.14285714285714,1,4,33,1,0,1,1,0,1,0,1,1,0,0,1,1,4,3,1,4,4,4,2,2,2,5,3,2,2,3,3,1,2,1,3,4,4,2,4,2,4,2,5,2,4,4,3,4,2,1,3,4,1,3,3,3,4,4,3,5,1,3,3,4,3,2,3,3,4,2,3,5,3.07407407407407
"18",8,3,8,1,0,1,3,20,2,3,5,3.53333333333333,4.57142857142857,0,4,20,0,1,0,1,0,1,0,1,1,1,1,1,0,5,2,2,1,1,5,1,4,1,1,5,1,4,2,2,1,1,1,1,1,1,1,2,1,1,2,2,2,3,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,4,4.88888888888889
"19",6,3,2,0,1,0,3,19,2,3,3,2.86666666666667,3.64285714285714,1,3,19,0,0,1,0,1,0,1,1,0,1,0,1,0,3,5,4,4,1,3,4,4,3,4,4,4,1,2,1,2,3,1,2,2,5,4,2,1,3,2,1,2,3,4,2,4,1,3,2,5,4,3,5,4,1,3,1,2,4,1,3,4,1,2,3,5,5,3,2,2,2.92592592592593
"20",0,5,6,0,1,1,7,41,2,0,0,3.26666666666667,2.21428571428571,0,2,41,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,2,3,1,3,4,1,3,3,3,3,3,3,3,4,4,3,4,3,4,4,4,4,4,3,4,4,4,4,2,4,5,5,5,5,5,3,3,5,3,5,5,3,3,3,5,5,5,5,5,3,5,5,2,3,4.11111111111111
"21",5,2,1,0,1,0,7,63,2,1,4,3.6,2.92857142857143,0,2,63,0,1,0,0,0,0,0,1,0,1,1,1,0,1,4,2,2,2,2,2,2,2,2,2,5,2,1,5,4,2,2,2,4,2,3,2,3,5,5,1,4,4,5,4,4,4,4,1,3,4,2,4,4,2,2,2,4,4,4,2,4,3,4,4,2,4,2,4,4,3.33333333333333
"22",8,5,6,1,0,1,1,52,3,2,5,4.6,3.85714285714286,0,3,52,0,1,0,0,0,1,0,1,1,1,1,1,1,5,1,1,3,1,1,1,1,1,1,1,1,1,1,1,4,2,1,4,1,2,3,3,3,1,3,1,1,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,4,4,5,5,4.88888888888889
"23",10,2,4,1,0,1,4,69,1,5,5,4.53333333333333,4.64285714285714,1,2,69,1,0,1,1,1,1,0,1,1,1,1,1,0,1,1,1,4,1,3,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,5,1,2,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4.85185185185185
"24",4,4,2,1,0,1,1,27,1,1,3,3.8,3.5,0,4,27,0,1,0,0,0,0,0,1,0,1,1,0,0,2,3,2,3,1,4,1,2,2,2,2,2,2,4,1,5,2,2,2,3,3,2,2,1,1,3,3,3,3,4,3,4,5,5,5,5,5,4,5,5,5,5,4,3,3,4,4,4,4,5,4,4,5,4,4,4,4.2962962962963
"25",5,5,1,1,0,0,1,27,1,2,3,4.13333333333333,4.07142857142857,1,3,27,0,1,0,0,0,1,0,1,1,1,0,0,0,2,2,1,4,1,2,1,3,1,1,1,2,2,3,2,2,2,2,2,1,2,1,1,1,1,2,4,2,4,4,5,5,5,5,5,5,5,5,1,5,5,5,4,4,5,5,5,5,4,5,4,3,4,5,4,5,4.51851851851852
"26",7,5,2,1,0,0,2,23,2,4,3,3.46666666666667,3.71428571428571,0,1,23,1,0,1,0,1,1,0,1,1,1,0,0,0,1,4,2,2,2,4,3,5,2,2,1,4,2,3,1,2,2,1,4,1,2,3,1,2,2,1,4,2,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27",10,2,6,1,0,1,1,31,2,5,5,3.2,3.64285714285714,0,2,31,0,1,1,0,1,1,1,1,1,1,1,1,0,1,4,2,2,1,4,1,5,1,4,5,2,4,5,1,2,1,2,2,4,2,1,3,3,3,3,2,4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28",12,5,8,1,0,1,1,46,2,7,5,4.66666666666667,4.71428571428571,1,4,46,1,1,1,1,1,1,1,1,1,1,1,1,0,2,1,1,2,1,1,1,2,1,1,2,1,1,1,2,1,1,1,1,1,1,1,2,1,2,1,3,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29",5,2,7,1,0,0,4,25,2,0,5,3.8,4.21428571428571,1,3,25,0,0,0,0,0,0,0,1,1,1,1,1,0,3,2,1,3,1,3,1,1,2,3,2,4,1,5,1,2,1,1,3,2,1,1,1,1,1,1,4,2,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30",13,6,3,0,1,0,4,47,3,7,5,3.93333333333333,4.28571428571429,1,4,47,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,1,2,2,4,1,4,2,1,2,2,2,1,1,1,2,2,1,2,2,2,3,2,2,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31",3,2,3,0,1,1,5,31,2,0,3,3.06666666666667,3.07142857142857,0,2,31,0,0,0,0,0,0,0,0,1,0,1,1,0,3,4,2,4,2,4,2,4,1,3,3,4,2,3,3,3,3,2,4,3,3,2,3,3,3,2,3,4,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32",8,5,6,0,1,1,5,45,3,3,5,4,4.21428571428571,0,4,45,0,1,1,0,0,1,0,1,1,1,1,1,0,3,3,2,2,2,2,1,2,1,1,2,4,2,2,1,2,2,1,1,2,2,2,1,1,2,2,4,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33",5,5,8,0,1,1,7,52,3,0,5,1.86666666666667,3.71428571428571,0,3,52,0,0,0,0,0,0,0,1,1,1,1,1,0,5,5,5,5,5,5,1,5,1,5,1,4,5,5,5,2,2,2,2,2,2,2,2,2,2,2,4,2,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34",5,3,1,1,0,1,4,30,1,1,4,3.66666666666667,2.85714285714286,0,3,30,0,1,0,0,0,0,0,1,1,0,1,1,0,1,4,3,2,4,2,2,2,3,2,3,2,2,2,1,3,3,2,2,2,3,4,4,4,4,4,2,4,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35",3,2,1,1,0,1,4,54,2,0,3,3.4,3.71428571428571,0,2,54,0,0,0,0,0,0,0,0,1,0,1,1,0,3,4,2,3,2,4,1,3,3,4,2,2,2,2,2,3,4,1,1,3,1,2,2,3,2,3,3,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36",6,1,2,1,0,1,3,49,2,1,5,2.33333333333333,3.71428571428571,0,3,49,0,1,0,0,0,0,0,1,1,1,1,1,0,3,5,2,5,4,5,1,5,1,3,5,5,1,5,5,1,1,1,1,3,2,5,1,1,1,1,5,4,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37",13,6,7,1,0,1,1,55,2,7,5,4.06666666666667,4.92857142857143,1,3,55,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,5,1,1,2,1,1,5,1,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38",8,3,8,0,1,1,3,40,1,4,4,3.86666666666667,3.71428571428571,0,3,40,0,1,1,0,0,1,1,1,0,1,1,1,0,3,2,1,3,1,4,1,2,1,1,4,4,1,2,2,2,2,2,1,2,2,2,2,2,2,2,5,4,2,4,5,5,5,5,5,5,5,5,5,5,5,5,5,4,2,4,5,5,5,5,5,4,4,3,3,4,4.51851851851852
"39",1,5,7,0,1,1,7,24,3,0,1,3.4,3.28571428571429,0,3,24,0,0,0,0,0,0,0,0,1,0,0,0,0,2,3,2,2,2,4,2,2,2,2,3,5,3,3,2,2,2,2,2,4,3,3,2,2,3,3,4,4,2,4,2,3,3,3,3,3,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,3,4,3,3,4,3.59259259259259
"40",5,5,5,1,0,0,1,47,2,2,3,3.6,3.42857142857143,0,3,47,0,1,1,0,0,0,0,1,0,1,1,0,0,4,2,5,2,2,3,2,2,2,1,2,3,2,2,2,3,2,2,4,2,3,2,3,3,2,3,3,2,2,4,4,4,4,4,4,5,4,4,4,5,5,4,4,4,5,4,4,4,4,4,4,4,2,4,3,4,4.03703703703704
"41",0,3,5,0,1,0,7,33,2,0,0,3.13333333333333,3.57142857142857,0,3,33,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,1,5,1,5,1,5,1,5,1,5,1,5,1,2,2,2,4,2,2,2,2,2,2,2,4,2,4,2,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,2,2,4,4,4,2,3.14814814814815
"42",9,2,2,0,1,1,4,33,2,4,5,4.6,4.71428571428571,0,3,33,1,0,0,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,3,1,2,2,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,5,5,5,5,5,4.77777777777778
"43",6,3,2,1,0,0,3,23,3,3,2,3,3.28571428571429,0,3,23,0,1,1,0,1,0,0,0,0,1,1,0,1,4,1,4,5,1,3,3,4,2,3,2,5,1,4,3,2,2,1,4,3,2,2,2,4,2,2,5,3,4,2,4,3,4,4,4,4,3,4,3,4,4,5,4,3,4,3,3,4,4,4,2,2,5,4,3,2,3.51851851851852
"44",9,1,2,0,1,1,4,40,1,4,5,3.2,3.5,1,4,40,1,1,0,1,1,0,0,1,1,1,1,1,0,5,5,3,1,5,5,1,1,1,3,2,1,1,5,3,5,1,1,2,1,2,1,1,1,4,1,5,5,5,1,4,4,3,5,5,5,5,5,5,5,5,5,5,5,3,5,3,4,1,1,5,5,5,4,4,5,4.14814814814815
"45",9,6,5,1,0,0,2,53,1,4,5,4.66666666666667,4.35714285714286,1,4,53,1,1,0,0,0,1,1,1,1,1,1,1,0,1,1,1,3,1,2,1,1,1,1,1,2,1,2,1,2,2,1,2,1,1,2,3,2,1,1,2,1,2,5,5,5,5,5,4,5,5,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,4.85185185185185
"46",4,2,1,1,0,1,6,21,2,0,4,3.33333333333333,3.71428571428571,0,2,21,0,0,0,0,0,0,0,1,1,0,1,1,0,3,4,2,3,1,4,1,3,3,4,3,2,2,4,1,2,2,1,3,2,1,1,1,3,2,2,5,4,3,3,4,4,4,4,5,5,5,3,5,5,4,5,5,3,3,3,5,4,3,5,5,3,5,4,3,3,4.07407407407407
"47",1,3,5,0,1,0,7,30,2,0,1,2.13333333333333,2.07142857142857,0,1,30,0,0,0,0,0,0,0,0,1,0,0,0,0,5,4,4,3,2,4,4,5,1,5,5,5,4,2,5,5,5,3,2,5,4,5,4,5,5,5,1,5,1,5,1,1,2,4,2,1,4,2,2,4,2,1,5,4,4,2,1,1,1,5,4,1,3,2,1,1,2.44444444444444
"48",4,3,3,0,1,0,4,56,2,0,4,3.2,3.07142857142857,0,2,56,0,0,0,0,0,0,0,1,1,0,1,1,0,3,4,2,3,2,4,2,3,2,3,3,3,2,4,2,3,3,4,2,4,3,2,2,3,3,3,3,3,3,3,2,4,4,4,4,4,4,3,3,4,3,4,4,4,4,4,3,3,3,4,3,3,4,4,3,3,3.51851851851852
"49",5,6,2,0,1,1,3,27,2,4,1,2.73333333333333,2.85714285714286,1,2,27,1,0,1,0,1,0,1,0,0,0,1,0,0,3,4,4,4,5,3,2,2,2,3,5,4,4,3,1,2,3,4,4,4,3,4,2,5,4,2,2,3,2,4,1,3,2,2,4,3,4,4,5,3,4,2,1,3,3,4,2,3,5,3,5,3,4,2,4,2,3.14814814814815
"50",7,5,8,0,1,0,4,61,2,2,5,2.8,4.07142857142857,0,3,61,0,0,1,0,0,1,0,1,1,1,1,1,0,5,4,5,5,2,5,1,5,1,2,1,2,2,4,4,2,1,1,2,1,2,2,2,2,1,1,4,2,4,4,4,4,4,4,4,4,5,4,5,5,5,4,5,5,5,5,5,4,2,4,4,3,4,3,5,4,4.22222222222222
"51",4,6,1,1,0,0,4,36,2,0,4,3.26666666666667,3,0,3,36,0,0,0,0,0,0,0,1,0,1,1,1,0,2,4,3,4,2,4,2,3,1,3,2,2,3,3,3,3,2,2,4,3,3,3,3,3,3,4,3,2,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"52",6,3,2,1,0,1,4,33,3,4,1,2.8,3.07142857142857,0,2,33,0,1,1,1,0,1,0,0,1,0,0,0,1,5,2,2,3,4,4,4,4,3,2,2,2,3,4,4,3,3,3,3,2,3,2,3,2,2,3,4,3,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"53",9,2,1,1,0,0,1,68,3,4,5,4.2,3.85714285714286,0,4,68,0,1,0,0,1,1,1,1,1,1,1,1,0,1,2,1,4,1,4,1,1,1,3,1,1,1,3,2,3,2,2,1,2,2,2,2,3,1,3,3,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"54",5,6,8,1,0,1,2,43,2,0,5,3.6,3.5,0,3,43,0,0,0,0,0,0,0,1,1,1,1,1,0,2,2,2,3,2,2,2,4,1,3,2,5,2,2,2,2,3,1,3,1,1,2,3,2,2,4,5,4,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"55",6,6,8,1,0,1,1,27,2,2,4,4.06666666666667,4.14285714285714,0,3,27,0,1,0,0,0,1,0,1,1,1,0,1,0,1,1,1,5,1,2,1,3,3,1,2,1,3,3,1,3,1,1,5,1,1,1,1,1,1,1,5,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"56",5,4,4,1,0,0,1,20,2,2,3,3.66666666666667,3.85714285714286,1,3,20,0,1,0,0,0,1,0,0,1,0,1,1,0,2,4,1,4,2,4,1,2,3,2,2,2,2,3,1,2,2,1,4,2,1,4,2,2,1,1,2,2,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"57",10,2,3,0,1,0,7,46,2,5,5,3.26666666666667,3.92857142857143,1,4,46,1,1,1,1,0,1,0,1,1,1,1,1,0,2,2,1,4,1,5,1,5,2,4,1,4,2,5,2,1,1,2,2,2,1,2,2,1,2,2,5,2,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"58",1,2,3,0,1,1,7,49,1,0,1,1.93333333333333,2.85714285714286,0,1,49,0,0,0,0,0,0,0,0,0,0,0,1,0,5,5,3,4,3,5,2,4,3,4,5,5,4,4,5,3,3,2,2,3,2,3,3,4,3,4,4,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"59",5,6,7,1,0,1,3,84,2,0,5,3.86666666666667,3.64285714285714,0,3,84,0,0,0,0,0,0,0,1,1,1,1,1,0,3,1,1,4,1,5,1,3,2,1,4,1,1,3,1,2,2,2,2,3,2,2,3,2,1,2,3,5,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"60",10,6,7,1,0,0,6,25,3,6,4,2.93333333333333,3.85714285714286,1,4,25,1,1,1,1,1,0,1,1,1,0,1,1,0,4,3,4,2,3,2,3,4,3,5,2,5,1,4,1,2,1,2,5,1,1,2,1,1,2,2,5,1,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"61",2,3,1,1,0,1,4,23,2,0,2,2.86666666666667,3.28571428571429,0,3,23,0,0,0,0,0,0,0,1,0,1,0,0,0,5,2,2,3,5,5,1,3,3,4,2,3,3,3,3,4,3,2,2,3,2,3,2,2,2,3,3,3,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"62",6,3,4,0,1,0,4,24,2,1,5,3.26666666666667,4.14285714285714,0,3,24,0,0,1,0,0,0,0,1,1,1,1,1,0,2,3,2,3,2,5,2,4,1,4,3,3,1,4,2,2,2,1,1,2,2,2,1,1,2,3,2,1,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"63",6,3,1,1,0,1,4,30,2,1,5,3.6,4.07142857142857,0,4,30,0,1,0,0,0,0,0,1,1,1,1,1,0,4,3,4,4,2,3,1,1,1,1,4,2,1,3,2,1,3,1,1,2,1,1,2,2,3,1,4,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"64",8,4,8,0,1,0,4,56,2,2,5,3.4,3.57142857142857,0,2,56,0,1,0,0,0,1,0,1,1,1,1,1,1,3,2,2,3,2,2,3,3,3,2,2,5,2,3,2,3,2,2,3,2,2,2,2,2,2,2,4,2,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
